DataNumberSFAFItem,Type,Title,SPECTRUMXXITags,Required,MaximumLengthsInput,OccurrencesMaximum,IRACTo,GMFTags,IsArray,FieldName,Column,DBType,Group,Description
502,Supplementary Details,Description of Requirement,GEN,,1440,1,N,,FALSE,502,sfaf.description_of_requirement,str(1440),,"Agency remarks which, while pertinent to the assignment, are not intended to be part of the application processed through the IRAC. These remarks, therefore, will be excluded from the GMF."
503,Supplementary Details,Agency Free-text Comments,AGN,,35,30,Y,*AGN,TRUE,503,sfaf.agency_freetext_comments,str(35),,"Agency remarks in the applications processed through the IRAC. These remarks will, therefore, be included in the GMF. Remarks not intended for the GMF must be entered in Data Item 502 (Description of Requirement)."
504,Supplementary Details,FASCommentsAgenda,FAS,,72,5,Y,FAS,TRUE,504,sfaf.fascommentsagenda,str(72),,Information that is not required to be recorded in the GMF. The data entered will appear in the FAS Agenda Action File (ACTF) file and the FRRS permanent proposal records only. It will not appear in the GMF or FRRS central databases.
505,Supplementary Details,NATONumberPooled Frequency Code,,,5,1,N,b,FALSE,505,sfaf.natonumberpooled_frequency_code,str(5),,Data on communications associated with ground transmitters/receivers as well as aircraft operating in the 225-400 MHz frequency band.
506,Supplementary Details,Paired Frequency,PRD,,"11,10,12",30,Y,*PRDb,TRUE,506,sfaf.paired_frequency,str(12),,Data Item 506 has three parts. The first part contains the repeater station transmit or receive frequency associated with the transmitter frequency described in this record. The second part contains the agency serial number associated with that paired frequency and the third part contains a brief associated comment.
511,Supplementary Details,Major Function Identifier,MFI,,30,1,Y,*MFIb,FALSE,511,sfaf.major_function_identifier,str(30),,The major (or primary) function of the frequency assignment.
512,Supplementary Details,Intermediate Function Identifier,IFI,,30,1,Y,*IFI b,FALSE,512,sfaf.intermediate_function_identifier,str(30),,The intermediate function of the frequency assignment.
513,Supplementary Details,Detailed Function Identifier,DFI,,30,5,Y,*DFI,TRUE,513,sfaf.detailed_function_identifier,str(30),,The detailed function of the frequency assignment.
520,Supplementary Details,Supplementary Details,SUP,,1080,1,Y,SUP,FALSE,520,sfaf.supplementary_details,str(1080),,Details
521,Supplementary Details,TransitionPlanning Dataand Narrow Band,TRN,,"8,13",1,Y,*TRNb,FALSE,521,sfaf.transitionplanning_dataand_narrow_band,str(13),,"Data Item 521 has two parts. Part one contains the date the assignment is planned to be transitioned to comply with narrowband transition plans (NTIA Manual sections 4.3.7A, 4.3.9, or 5.3.5.2) and part two will contain the new frequency if the assignment is to be moved to a new frequency to comply with NTIA Manual narrowband channel plans. The notation concerning the transition may be of two types, first the assignment will be modified to meet the narrow band requirements; however, the assignment will remain on the same frequency. In the second instance the assignment will be moved to a new frequency and the existing record deleted."
530,Supplementary Details,Authorized Areas,"XAR,RAR,ARB",,"3,35",30,Y,"*ART,*ARR,*ARB",TRUE,530,sfaf.authorized_areas,str(35),,"Data Item 530 has two parts. Part one contains a 3-character coded data entry, and the second part describes geographical areas that cannot be described in data items 306/406 (Authorized Mileage Radius) or Data Item 531 (Authorized States)."
531,Supplementary Details,Authorized States,AST,,"3,35",6,Y,"**LST,*LSR,*LSB,*EST,ESR,*ESB",TRUE,531,sfaf.authorized_states,str(35),,
701,Other Assignment Identifiers,Frequency Action Officer,,,3,1,Y,"*AGN,FAO",FALSE,701,sfaf.frequency_action_officer,str(3),,MILDEP code identifying the person or group responsible for the assignment. This item is not used if Data Item 010 equals A.
702,Other Assignment Identifiers,Control/Request Number,,,15,1,Y,"*AGN,CNO",FALSE,702,sfaf.control_request_number,str(15),,The control/request number that allows subordinate organizations to track specific frequency applications.
704,Other Assignment Identifiers,Type of Service,,,1,1,Y,"*AGN,TOS",FALSE,704,sfaf.type_of_service,str(1),,A code used to identify the type of service/circuit involved.
707,Other Assignment Identifiers,PACOM Function NumberComplement/FMSC,,,8,20,N,,TRUE,707,sfaf.pacom_function_numbercomplement_fmsc,str(8),,
710,Other Assignment Identifiers,Host Country Docket Number,,,35,10,N,,TRUE,710,sfaf.host_country_docket_number,str(35),,
711,Other Assignment Identifiers,Aeronauticaland Height  Service Range,,,6,1,N,,FALSE,711,sfaf.aeronauticaland_height_service_range,str(6),,
715,Other Assignment Identifiers,TransmitterNumber    FMSC MRFL,,,14,1,N,,FALSE,715,sfaf.transmitternumber_fmsc_mrfl,str(14),,
716,Other Assignment Identifiers,Usage Code,,,1,1,N,,FALSE,716,sfaf.usage_code,str(1),,
801,Additional Information,Coordination Data/Remarks,,,60,20,N,,TRUE,801,sfaf.coordination_data_remarks,str(60),,
803,Additional Information,Requestor Data,POC,,60,1,N,,FALSE,803,sfaf.requestor_data,str(60),,The name and DSN number of the individual submitting the request.
804,Additional Information,Tuning Range/Tuning Increments,,,60,30,N,,TRUE,804,sfaf.tuning_range_tuning_increments,str(60),,
805,Additional Information,Date Response Required,,,8,1,N,,FALSE,805,sfaf.date_response_required,str(8),,
806,Additional Information,Indication are Acceptable,,,60,10,N,,TRUE,806,sfaf.indication_are_acceptable,str(60),,
807,Additional Information,Frequencies to be Deleted,,,60,10,N,,TRUE,807,sfaf.frequencies_to_be_deleted,str(60),,
901,Additional Information,Record Status,,,1,1,N,,FALSE,901,sfaf.record_status,str(1),,
903,Additional Information,Proposal Status,CPS,,4,20,N,,TRUE,903,sfaf.proposal_status,str(4),,
904,Additional Information,Status Date,STD,,8,20,N,,TRUE,904,sfaf.status_date,str(8),,
905,Additional Information,Proposal Date Time Group,,,14,1,N,,FALSE,905,sfaf.proposal_date_time_group,str(14),,
906,Additional Information,Originator,,,66,1,N,,FALSE,906,sfaf.originator,str(66),,
907,Additional Information,Validation Status,,,1,1,N,,FALSE,907,sfaf.validation_status,str(1),,
910,Additional Information,Exercise Project,,,20,1,N,,FALSE,910,sfaf.exercise_project,str(20),,
911,Additional Information,Date of Last Transaction,DAT,,8,1,N,,FALSE,911,sfaf.date_of_last_transaction,str(8),,"The date the record was last modified by a database transaction. This data item changes whenever any aspect of a record is changed such as when administrative, modification or delete transaction is posted to the central database master record."
924,Additional Information,Data Source Indicator,,,4,1,N,,FALSE,924,sfaf.data_source_indicator,str(4),,The source or organization from which the data record was received.
926,Additional Information,Semi-Bandwidth,,,12,1,N,,FALSE,926,sfaf.semibandwidth,str(12),,"Data Item 926 represents, in kilohertz, half of the emission bandwidth of the largest bandwidth given for the assignment."
927,Additional Information,Date of Entry,,,8,1,N,,FALSE,927,sfaf.date_of_entry,str(8),,The date (YYYYMMDD) the assignment was initially entered into the FRRS database system.
928,Additional Information,Date of Receipt,,,8,1,N,,FALSE,928,sfaf.date_of_receipt,str(8),,The Date (YYYYMMDD) of receipt of the most recent transaction at the JSC.
950,Additional Information,PC ID,PCI,,10,1,N,,FALSE,950,sfaf.pc_id,str(10),,"The PC at which the transaction was originated. Normally, this occurs at organizational levels below where the serial number can be assigned."
952,Additional Information,IRAC Security Classification,,,1,1,Y,CLA,FALSE,952,sfaf.irac_security_classification,str(1),,
953,Additional Information,IRAC Declassification Date,,,10,1,Y,CDD,FALSE,953,sfaf.irac_declassification_date,str(10),,
956,Additional Information,Agency Action Number,ACN,,10,1,Y,ACN,FALSE,956,sfaf.agency_action_number,str(10),,"Used to track transactions. It is formatted with 4 characters (AAAA) selected by the submitting organization, followed by a two digit year (YY) and a four digit sequential number (nnnn)."
957,Additional Information,Review Year,RYR,,4,1,Y,RYR,FALSE,957,sfaf.review_year,str(4),,
958,Additional Information,Routine Agenda Item,RTN,,1,1,Y,RTN,FALSE,958,sfaf.routine_agenda_item,str(1),,A coded data entry that indicates the type of NTIA FAS agenda on which the application will be processed.
959,Additional Information,Circuit Remarks,REM,,40,30,N,REM,TRUE,959,sfaf.circuit_remarks,str(40),,
963,Additional Information,FCC File Number,FLN,,22,1,Y,*FLN,FALSE,963,sfaf.fcc_file_number,str(22),,
964,Additional Information,Tx Aircraft Altitude,,,3,10,N,XAD,TRUE,964,sfaf.tx_aircraft_altitude,str(3),,
965,Additional Information,Rx Aircraft Altitude,,,3,10,N,RAD,TRUE,965,sfaf.rx_aircraft_altitude,str(3),,
982,Additional Information,JCEOI Line Number,,,5,1,N,,FALSE,982,sfaf.jceoi_line_number,str(5),,
983,Additional Information,JCEOI Master Net List Name,,,16,1,N,,FALSE,983,sfaf.jceoi_master_net_list_name,str(16),,
984,Additional Information,Net Frequency Range,,,11,1,N,,FALSE,984,sfaf.net_frequency_range,str(11),,
985,Additional Information,Joint Restricted Frequency List (JRFL) Protection Code,,,1,1,N,,FALSE,985,sfaf.jrfl,str(1),,
986,Additional Information,Net Tactical Call Word ,,,15,1,N,,FALSE,986,sfaf.net_tactical_call_word,str(15),,
987,Additional Information,Net Tactical Call Sign,,,3,1,N,,FALSE,987,sfaf.net_tactical_call_sign,str(3),,
988,Additional Information,Net Tactical Air Designator  (TAD),,,5,1,N,,FALSE,988,sfaf.net_tactical_air_designator_tad,str(5),,
989,Additional Information,Net Color Word ,,,16,1,N,,FALSE,989,sfaf.net_color_word,str(16),,
990,Additional Information,Net Color Number,,,2,1,N,,FALSE,990,sfaf.net_color_number,str(2),,
991,Additional Information,Net Restoral Priority,,,3,1,N,,FALSE,991,sfaf.net_restoral_priority,str(3),,
992,Additional Information,Net Push Number,,,3,1,N,,FALSE,992,sfaf.net_push_number,str(3),,
993,Additional Information,Band Usage ,,,1,1,N,,FALSE,993,sfaf.band_usage,str(1),,
994,Additional Information,Check Sum,,,1,1,N,,FALSE,994,sfaf.check_sum,str(1),,
995,Additional Information,COMSEC Keymat,,,15,1,N,,FALSE,995,sfaf.comsec_keymat,str(15),,
996,Additional Information,"Circuit Type, Line Item, Group ",,,8,1,N,,FALSE,996,sfaf.circuittype_lineitem_group,str(8),,
997,Additional Information,JCEOI Special Net Instructions ,,,63,1,N,,FALSE,997,sfaf.jceoi_special_net_instructions,str(63),,
998,Additional Information,Net Notes,,,3,1,N,,FALSE,998,sfaf.net_notes,str(3),,
999,Additional Information,Guard Requirements ,,,20,50,N,,TRUE,999,sfaf.guard_requirements,str(20),,
